3	CGpAdLYuzo531ox9n6Kl0elkgMe	EQlBwrVq5iTZoDk9FMElOkbjgyb	26111 用户调研相关
4	Tvdkdo0eDop9lPxFcSllwzFVgDd	XGhFwmLsWiEPSxkh1Kil8PGBgOb	【26111】25MP 超清模式需求文档
5	HecgdhPozofJ7IxRcglloihXgYf	RN1ZwOnILiriOkkyseplF6xwglg	供应商能力汇总
6	KujNdEhujoltg1x6xgAluzLpgdT	YaZJwu9ddi1UdSkYalslCG2HgGh	【PRD】Camera 5.1 - 对焦/人脸/宠物识别框视觉动效优化
7	XOpvdfIjBoVwSPxq6QElp9W8gMg	AVwMwiLiGiTeQMkvugTlxrZ6gOc	【PRD】Camera 5.1 - 相机设计改版
9	J8lkd4KGEobGtuxf3EelmToBg3E	FOG2wSURui0FeBkxrFll92CxgE2	【PRD】Camera 5.1 - 前置自动小广角
10	AQY0d37afoixBNxovr0l1fwmgDd	Pwe0wwnytilR3nkh3QjlyvwNgVh	【PRD】Camera 5.1 - Tuning Palette 调色板
11	S9cVdbeQLoIyYvx51tzlXDqfgUc	DlOTwUuE0ioCJ1kee8klpB8xgQf	【PRD】Camera 5.1 - 200MP 自动裁切
12	QCdGdErD6omTlzx9AtzlgxpIgWe	S1RpwOqS7iVuGXkX8Acl9AVOgcg	【PRD】Camera 5.1 - 200MP 高像素
13	Kl8pd7g4FoK52px0LkTlqqn7gdd	UkbtwxItwiQYBLko8r9lidTig1b	【PRD】Camera 5.1 - 照片专业模式 2.0（Expert Mode 2.0）
14	JhhKdNT9wof7q2xpOE6lOL6qgdh	GdPwwYFsWiFdGTkP5WplcGBJgeh	【PRD】Camera 4.0 - 美颜效果定义
15	OmaEd4Re8oKF5WxHd5glNVjGgbd	ZvxXwZHzEiRCj5koY98l4zKMgaf	【PRD】Camera 5.1 - 照片风格（自然 & 鲜明）
16	R6bPdX8BOoAQWfxaSGpllX6ngGg	RuDywcYL8iKW90klt5DlWtaTgGD	【PRD】Camera 5.1-AI Preset
17	RCTgdoQ0toQzfzxsknvlGBO9guh	WVbrwDZsjiAdjUke00flRhusgHb	【PRD】Camera 5.1 - 视频 ISZ（无损变焦）
18	TfcwdgkqboAiHhxcCH3lIPxgg4g	EBDYwdO7si66qHk12jUlOIeIgWd	【PRD】Camera 5.1 - 前置 4K 视频
19	Vk4Od6Se3otT2MxUlVglBZfDg1d	BEfcw5owliIjHqkP4pblZPXEgSb	【PRD】Camera 5.1 - 视频 EIS 开关
20	DTD2dpTlLop7yFxzWAPlm9bPgHe	WFfCwYgv0ibVpBkVzV9lUvk1gXe	【PRD】Camera 4.0-视频锁定镜头
21	GVaHdfT0eouHxJxawuqlwLpjgme	KruwwFH6EifZwPkNrZxl8IMrgPb	【PRD】Camera 5.1 - 视频锁定白平衡
22	Ny4HdTqI3oLtYLx2m1wlDP9Mgdg	P9fww5KEhi8KLlkFxqMlzg8Ngse	【PRD】Camera 5.1 - 视频模式专业参数调节
23	MoVidaFWooY5enx6IIGldnI5ghe	CSSfwVFAviGRgukmCrAlPX7EgtA	【PRD】Camera 5.1 - 视频默认 H.265 编码
24	Xh3udZK6RoAVv3xfELWlAODggLc	FnyiwsqEiiBb05kBUeTleArOgTe	【PRD】Camera 5.1 - 前后双录 v2
25	HIdPdtWOmotqKCxVBoBlPsvggNw	DOWtwvAaIiWlgzkdsjnljrRrg2c	【PRD】Camera 5.1 - 录像中拍照（VSS）效果提升
26	PlZVdBufqoC6oPx4MjxlgGmpgOd	PsAxw5sN7irqJSkSSzRl2DVmgRe	SAT 体验优化
27	BIswd8SdhorzJJxIx7Kla2qZgEe	EZXbwh8rdiKu7TkYsUclzJ0xgob	【PRD】Camera 5.0 构图助手
28	ZzVbdaiL5odgsyxTcKSlEDOBg9g	Xg10wzdujigZa5kugaYlrC88gsg	相机 AI 推荐功能立项申请书
29	Co3UdroAGos7ypxaAAKlPkzug6e	CXRSwpjcYiILUdk3h5olkZ31gkh	【PRD】Camera 5.1-人像模式 Consistent Zoom
30	HzVWdX7KfoP2FWxPVpJlFL68gUd	EIzbwvQcQiiFC2k4GiCluVhwgZc	印度镜头脏污专项
31	TOPMdAsjDoOuW2x2XrQljB6hgOb	YN4SwClI3izBG1kpcMil6zXdgtg	【PRD】Camera 5.1 普通照片模式运动场景引导
32	NOlCdnmtqo9etOx43PalXbUugvb	HX5qwH6cFia5SIkG0jClG0SkgDM	【PRD】Camera 5.1 美颜功能首次开启引导
33	KDpwdKtEso7lP4xgCsgllRHlgqh	Cmz2wM4xSilhuIknGoQlsgk9ghb	【PRD】Camera 5.1- 设置 增加 Tips and feedback 入口
34	S8KDdD8reojpU9xcxgWlnFNHgRe	F6eVw3jiRiFmyCkdAsGl6u0SgDb	26121 视频 Log 功能评估
35	YhNXdLBV6o1kfoxFVGOlXzyCgEf	Wr1VwHGm6igzjtk3OZslJ7oAgnd	【PRD】Camera 5.1 - 200MP 高像素
